iter	Passed	Remaining
0	1	120
1	2	108
2	3	103
3	4	98
4	5	101
5	6	99
6	7	96
7	8	96
8	9	95
9	10	93
10	11	92
11	12	91
12	13	89
13	14	88
14	15	87
15	16	85
16	17	84
17	18	83
18	19	82
19	20	82
20	21	81
21	22	80
22	23	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	71
31	33	71
32	34	70
33	35	69
34	36	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	76	29
72	77	28
73	78	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	92	16
85	93	15
86	94	14
87	96	13
88	97	12
89	98	10
90	99	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	108	2
98	109	1
99	110	0
